GRB_name,GCN_number,email_date,email_time,ra,ra_unit,dec,dec_unit,error,error_unit,altitude_degrees,space_telescope,trigger_date,trigger_time_utc,obs_start_time_utc,obs_end_time_utc,trigger_offset_value,trigger_offset_unit,trigger_offset_relation,peak_count_per_sec,flux,flux_unit,fluence,fluence_unit,snr,magnitude,ra_deg,dec_deg,error_deg,date_code
260310A,44022,26/03/15,17:21:19,,,,,,,,FERMI,2026-03-14,18:29:38,,,109.54,hours,after_trigger,,,,,,,18.54,,,,260310
260310A,44021,26/03/15,16:12:58,,,,,,,,,,,2026-03-14.80913,,,,,,,,,,,18.5,,,,260310
260310A,44020,26/03/15,15:06:06,,,,,,,,FERMI,,04:57:14,08:56:17,09:32:41,5.166,days,after_trigger,,,,,,,18.0,,,,260310
260310A,44006,26/03/14,15:46:52,,,,,,,,,,,23:09:50,23:56:42,,,,,,,,,,18.0,,,,260310
260310A,44004,26/03/14,14:48:10,,,,,,,,FERMI,2026-03-14,05:11:46,,,96.2,hours,after_trigger,,,,,,,15.9,,,,260310
260310A,44003,26/03/14,09:12:46,,,,,,,,,2026-03-14,00:04:00,,,3.797,days,after_trigger,,,,,,,18.21,,,,260310
260310A,44002,26/03/14,08:19:29,,,,,,,,FERMI,,04:52:12,13:45,,3.37,days,after_trigger,,,,,,,17.96,,,,260310
260310A,44000,26/03/14,04:43:17,,,,,,,,,,,,,,,,,,,,,,18.3,,,,260310
260310A,43996,26/03/13,21:05:01,,,,,,,,,2026-03-10,04:57:11,09:57:09.115,,53,hours,after_trigger,,,,,,,16.7,,,,260310
260310A,43994,26/03/13,17:39:34,219.3158,deg,71.8417,deg,10,arcsec,,EP,2026-03-12,17:22:58,,,,,,,,,,,,,219.3158,71.8417,0.002777777777777778,260310
260310A,43993,26/03/13,17:35:21,,,,,,,,OTHERS,,04:58:00,13:58,,81.0,hours,after_trigger,,,,,,,16.7,,,,260310
260310B,43992,26/03/13,15:05:40,,,,,,,,OTHERS,2026-03-10,21:41:23,,,,,,1147,,,,,,,,,,260310
260310A,43991,26/03/13,14:38:23,,,,,,,,FERMI,,04:59:00,05:11,12:20,0.2,hours,after_trigger,,,,,,,16.6,,,,260310
260310A,43990,26/03/13,14:33:29,,,,,2.8,arcsec,,,,,,,2.89,days,after_trigger,,,,,,,18.12,,,0.0007777777777777777,260310
260310A,43981,26/03/13,08:04:42,,,,,,,,FERMI,,,,,,,,,,,,,,,,,,260310
