GRB_name,GCN_number,email_date,email_time,ra,ra_unit,dec,dec_unit,error,error_unit,altitude_degrees,space_telescope,trigger_date,trigger_time_utc,obs_start_time_utc,obs_end_time_utc,trigger_offset_value,trigger_offset_unit,trigger_offset_relation,peak_count_per_sec,flux,flux_unit,fluence,fluence_unit,snr,magnitude,ra_deg,dec_deg,error_deg,date_code,validation_passed,confidence_score
260328a,43970,26/03/28,14:30:11,07h 11m 30s,hms,"+22d 46' 00""",daa,0.2,deg,,FERMI,,,,,,,,,,,3.2,erg cm^-2,12.4,,107.87500000000001,22.766666666666666,0.2,260328,True,0.774
260328a,43970,26/03/28,14:30:11,07h 11m 30s,hms,"+22d 46' 00""",daa,0.2,deg,,FERMI,,,,,,,,,,,3.2,erg cm^-2,12.4,,107.87500000000001,22.766666666666666,0.2,260328,True,0.774
260328a,43970,26/03/28,14:30:11,07h 11m 30s,hms,"+22d 46' 00""",daa,0.2,deg,,FERMI,,14:00:00,,,,,,,,,3.2,erg cm^-2,12.4,,107.87500000000001,22.766666666666666,0.2,260328,True,0.935
260328a,43970,26/03/28,14:30:11,07h 11m 30s,hms,"+22d 46' 00""",daa,0.2,deg,,FERMI,2026-03-28,,,,,,,,,,3.2,erg cm^-2,12.4,,107.87500000000001,22.766666666666666,0.2,260328,True,0.774
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,5,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,1.8e-06,erg cm^-2 s^-1,3.2e-6,erg cm^-2,,,136.708,18.848,0.08333333333333333,260328,True,0.935
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,5,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,,,3.2e-6,erg/cm2,,,136.708,18.848,0.08333333333333333,260328,True,0.903
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,5,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,,,3.2e-6,erg/cm2,,,136.708,18.848,0.08333333333333333,260328,True,0.903
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,5,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,1.8e-06,erg cm^-2 s^-1,3.2e-6,erg cm^-2,,,136.708,18.848,0.08333333333333333,260328,True,0.935
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,1,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,1.8,erg cm^-2 s^-1,3.2,erg cm^-2,,,136.708,18.848,0.016666666666666666,260328,True,0.935
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,0.5,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,,,3.2e-6,erg/cm2,,,136.708,18.848,0.008333333333333333,260328,True,0.903
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,31,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,1.8,erg cm^-2 s^-1,3.2,erg cm^-2,,,136.708,18.848,0.5166666666666667,260328,True,0.935
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,1,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,1.8,erg cm^-2 s^-1,3.2,erg cm^-2,,,136.708,18.848,0.016666666666666666,260328,True,0.935
260328a,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,31,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,1.8,erg cm^-2 s^-1,3.2,erg cm^-2,,,136.708,18.848,0.5166666666666667,260328,True,0.935
260328b,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,31,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,1.8,erg cm^-2 s^-1,3.2,erg cm^-2,,,136.708,18.848,0.5166666666666667,260328,True,0.935
260328b,987654321,26/03/28,18:00:00,136.708,deg,+18.848,deg,1,arcmin,,FERMI,2026-03-28,18:00:00,,,,,,5500,,,3.2e-6,erg cm^-2,,,136.708,18.848,0.016666666666666666,260328,True,0.903
