GRB_name,GCN_number,email_date,email_time,ra,ra_unit,dec,dec_unit,error,error_unit,altitude_degrees,space_telescope,trigger_date,trigger_time_utc,obs_start_time_utc,obs_end_time_utc,trigger_offset_value,trigger_offset_unit,trigger_offset_relation,peak_count_per_sec,flux,flux_unit,fluence,fluence_unit,snr,magnitude,error_message
,,Fri 02 Jan 26,09:49:35 UT,183.879d,deg,+48.259d,deg,,,,SWIFT,,,,,,,,,,,,,,,could not convert string to float: '183.879d'
,,Fri 02 Jan 26,09:49:27 UT,205.261d,deg,-28.126d,deg,,,,SWIFT,,,,,,,,,,,,,,,could not convert string to float: '205.261d'
GRB 260102A,21896,Fri 02 Jan 26,09:47:07 UT,183.880d,deg,+48.258d,daa,0.0,arcsec,,SWIFT,,,,,,,,,,,,,,,could not convert string to float: '183.880d'
,,Fri 02 Jan 26,09:40:25 UT,115.253d,deg,+16.556d,deg,,,,SWIFT,,,,,,,,,,,,,,,could not convert string to float: '115.253d'
,,,,,,,,,,,,,,,,,,,,,,,,,,"expected string or bytes-like object, got 'NoneType'"
EP260101a,43288,26/01/01,07:02:51,46.0605 deg,deg,39.4380 deg,deg,20,arcsec,,EP,2026-01-01,06:35:42,,,,,,,,,,,,,could not convert string to float: '46.0605 deg'
GRB 260101A,43287,26/01/01,03:32:50,,,,,,,,FERMI,,,02:13:40.010,02:21:06.010,1.286,hours,after_trigger,,,,,,,18.05,unconverted data remains: .010
GRB 260101A,43285,26/01/01,01:13:39,05h 45m 51s,hms,"+63d 34' 06""",daa,3,arcmin,,SWIFT,,,00:57:54.9,,84.7,seconds,after_trigger,7000,,,,,,16.03,unconverted data remains: .9
,1429608,Thu 01 Jan 26,01:07:02,86.4288d,deg,+63.5922d,deg,0.6,arcsec,,SWIFT,,,,,,,,,,,,,,16.03,could not convert string to float: '86.4288d'
,1429608,Thu 01 Jan 26,00:59:51,86.456d,deg,+63.565d,deg,,,,SWIFT,,,00:57:57.63,00:59:43.18,,,,,,,,,,,could not convert string to float: '86.456d'
,1429608,Thu 01 Jan 26,00:58:02,86.459d,deg,+63.563d,deg,0.0,arcsec,,SWIFT,,,00:57:54.96,,84.7,seconds,after_trigger,,,,,,,,could not convert string to float: '86.459d'
,1429608,Thu 01 Jan 26,00:57:04,86.465d,deg,+63.568d,deg,,,,SWIFT,,,,,,,,,,,,,,,could not convert string to float: '86.465d'
